STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_HES_HES_006,Year,HHCOMP_HES_HES_006,Household composition,NZHEC_LEV_HES_HES_006,Expenditure category,MEASURE_HES_HES_006,Measure,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_3,Other recreational equipment and supplies,AV_WKLY_AMT,,20.00,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_3,Other recreational equipment and supplies,PER_HHLD_REP,,73.2,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_3,Other recreational equipment and supplies,SAMPLING_ERROR,,18,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_4,Recreational and cultural services,AV_WKLY_AMT,,34.00,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_4,Recreational and cultural services,PER_HHLD_REP,,85.7,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_4,Recreational and cultural services,SAMPLING_ERROR,,15,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_5,"Newspapers, books and stationery",AV_WKLY_AMT,,11.60,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_5,"Newspapers, books and stationery",PER_HHLD_REP,,74.3,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_5,"Newspapers, books and stationery",SAMPLING_ERROR,,16,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_6,Accommodation services,AV_WKLY_AMT,,9.70,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_6,Accommodation services,PER_HHLD_REP,,34.3,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_6,Accommodation services,SAMPLING_ERROR,,33,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_7,Package holidays,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_7,Package holidays,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_8,Miscellaneous domestic holiday costs,AV_WKLY_AMT,,3.90,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_8,Miscellaneous domestic holiday costs,PER_HHLD_REP,,36.2,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,09_8,Miscellaneous domestic holiday costs,SAMPLING_ERROR,,26,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,10,Education,AV_WKLY_AMT,,2.60,,,
