Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20240907174344

Parameters
Date range,01 Sep 2013 - 31 Jul 2024
Region type,Regional council
Market segment,All ICPs
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
30/09/2015,14,Otago,All combined,Solar (All),530,0.46879,2.071,3.907,28,4.218
30/09/2015,15,Southland,All combined,Solar (All),159,0.30728,0.837,5.265,4,4.500
31/10/2015,1,Northland,All combined,Solar (All),450,0.51674,2.012,4.470,34,3.699
31/10/2015,2,Auckland,All combined,Solar (All),2359,0.40358,8.952,3.795,84,3.577
31/10/2015,3,Waikato,All combined,Solar (All),942,0.42783,3.296,3.498,35,3.366
31/10/2015,4,Bay of Plenty,All combined,Solar (All),400,0.29369,1.624,4.059,13,3.400
31/10/2015,5,Gisborne,All combined,Solar (All),47,0.25904,0.190,4.038,5,3.096
31/10/2015,6,Hawke's Bay,All combined,Solar (All),368,0.47477,1.553,4.221,18,3.089
31/10/2015,7,Taranaki,All combined,Solar (All),177,0.30296,0.691,3.905,8,4.075
31/10/2015,8,Manawatu-Wanganui,All combined,Solar (All),328,0.27868,1.361,4.150,28,4.209
31/10/2015,9,Wellington,All combined,Solar (All),722,0.32880,2.555,3.539,19,4.213
31/10/2015,16,Tasman,All combined,Solar (All),250,1.07921,1.099,4.397,7,3.006
31/10/2015,17,Nelson,All combined,Solar (All),219,0.90455,0.893,4.077,5,2.360
31/10/2015,18,Marlborough,All combined,Solar (All),170,0.68466,0.685,4.028,4,2.323
31/10/2015,12,West Coast,All combined,Solar (All),17,0.09426,0.065,3.812,0,
31/10/2015,13,Canterbury,All combined,Solar (All),1555,0.55445,6.160,3.961,70,3.890
31/10/2015,14,Otago,All combined,Solar (All),541,0.47779,2.124,3.926,11,4.818
31/10/2015,15,Southland,All combined,Solar (All),164,0.31682,0.862,5.257,5,5.000
30/11/2015,1,Northland,All combined,Solar (All),487,0.55854,2.167,4.451,38,4.153
30/11/2015,2,Auckland,All combined,Solar (All),2455,0.41959,9.317,3.795,97,3.806
30/11/2015,3,Waikato,All combined,Solar (All),992,0.45014,3.434,3.461,50,2.762
30/11/2015,4,Bay of Plenty,All combined,Solar (All),418,0.30634,1.675,4.007,19,3.211
30/11/2015,5,Gisborne,All combined,Solar (All),51,0.28107,0.197,3.867,4,1.865
30/11/2015,6,Hawke's Bay,All combined,Solar (All),381,0.49121,1.603,4.207,13,3.754
30/11/2015,7,Taranaki,All combined,Solar (All),186,0.31828,0.721,3.875,9,3.278
30/11/2015,8,Manawatu-Wanganui,All combined,Solar (All),344,0.29219,1.415,4.114,16,3.389
30/11/2015,9,Wellington,All combined,Solar (All),742,0.33791,2.621,3.533,20,3.320
30/11/2015,16,Tasman,All combined,Solar (All),256,1.10526,1.125,4.393,6,4.190
30/11/2015,17,Nelson,All combined,Solar (All),229,0.94359,0.923,4.032,10,3.060
30/11/2015,18,Marlborough,All combined,Solar (All),186,0.74873,0.817,4.393,16,8.269
30/11/2015,12,West Coast,All combined,Solar (All),17,0.09425,0.065,3.812,0,
30/11/2015,13,Canterbury,All combined,Solar (All),1623,0.57771,6.418,3.955,67,3.812
30/11/2015,14,Otago,All combined,Solar (All),561,0.49553,2.193,3.909,20,3.447
30/11/2015,15,Southland,All combined,Solar (All),165,0.31881,0.867,5.255,1,5.000
31/12/2015,1,Northland,All combined,Solar (All),516,0.59048,2.280,4.418,30,4.140
31/12/2015,2,Auckland,All combined,Solar (All),2563,0.43756,9.694,3.782,108,3.450
31/12/2015,3,Waikato,All combined,Solar (All),1045,0.47351,3.782,3.619,53,6.575
31/12/2015,4,Bay of Plenty,All combined,Solar (All),432,0.31603,1.732,4.008,14,4.068
31/12/2015,5,Gisborne,All combined,Solar (All),56,0.30861,0.212,3.790,5,3.000
31/12/2015,6,Hawke's Bay,All combined,Solar (All),406,0.52258,1.678,4.133,25,3.002
31/12/2015,7,Taranaki,All combined,Solar (All),192,0.32819,0.738,3.842,6,2.833
